Premium,Size,Home.Value,Credit,Exterior,Auto,Churn,Tier
2266,1703,160149,Average,Brick,N,MedLow,Platinum
2265,1501,143098,Excellent,Frame,N,MedHigh,Silver
2263,1571,131927,Below Average,Frame,N,MedLow,Green
2262,1581,136762,Average,Frame,N,MedHigh,Silver
2252,1632,155083,Average,Brick,Y,MedHigh,Platinum
2242,1673,155199,Poor,Brick,Y,MedHigh,Platinum
2241,1414,127970,Average,Frame,N,MedHigh,Silver
2240,1502,144654,Average,Frame,N,MedHigh,Platinum
2237,1695,151343,Average,Frame,N,MedLow,Gold
2237,1542,142385,Excellent,Frame,Y,MedLow,Gold
2236,1395,121285,Poor,Brick,N,MedHigh,Silver
2232,1424,125076,Average,Brick,N,MedHigh,Silver
2232,1384,121137,Excellent,Brick,N,MedHigh,Silver
2231,1519,132945,Good,Frame,N,MedHigh,Platinum
2228,1699,147728,Excellent,Frame,N,MedLow,Gold
2228,1408,129853,Average,Frame,N,MedHigh,Platinum
2222,1485,131423,Excellent,Frame,N,MedHigh,Silver
2219,1711,165304,Average,Brick,Y,MedHigh,Silver
2219,1376,121533,Excellent,Brick,N,MedHigh,Silver
2218,1738,157650,Excellent,Brick,N,MedLow,Silver
2218,1482,131596,Below Average,Frame,Y,MedHigh,Silver
2214,1632,159406,Average,Brick,Y,MedHigh,Gold
2211,1656,154842,Excellent,Brick,Y,MedHigh,Green
2210,1550,138980,Excellent,Frame,N,MedHigh,Platinum
2204,1484,130996,Excellent,Frame,N,MedLow,Green
2199,1461,131731,Poor,Frame,N,MedHigh,Platinum
2195,1677,147915,Below Average,Frame,Y,MedLow,Platinum
2189,1611,161908,Average,Brick,Y,MedHigh,Silver
2188,1424,125716,Excellent,Brick,N,MedHigh,Gold
2182,1465,126052,Below Average,Brick,N,MedHigh,Platinum
2178,1708,163094,Below Average,Brick,N,MedLow,Gold
2177,1610,159305,Average,Brick,N,MedHigh,Platinum
2177,1628,148869,Average,Frame,N,MedLow,Gold
2175,1752,166776,Excellent,Brick,N,MedLow,Green
2172,1533,134256,Average,Frame,N,MedLow,Silver
2167,1440,130268,Excellent,Frame,N,MedHigh,Gold
2162,1553,136305,Below Average,Frame,N,MedLow,Gold
2161,1682,152104,Average,Frame,N,MedLow,Gold
2160,1775,161768,Good,Brick,N,MedLow,Green
2155,1698,161070,Excellent,Brick,N,MedHigh,Green
2155,1393,121593,Poor,Brick,N,MedHigh,Platinum
2154,1702,166171,Excellent,Brick,N,MedHigh,Green
2154,1553,133065,Average,Frame,Y,MedLow,Platinum
2151,1669,149654,Poor,Frame,N,MedLow,Platinum
2148,1393,119836,Excellent,Brick,N,MedLow,Silver
2145,1760,167179,Average,Brick,Y,MedLow,Silver
2142,1487,129877,Excellent,Frame,N,MedHigh,Platinum
2140,1566,142766,Excellent,Frame,N,MedLow,Gold
2138,1604,152928,Poor,Frame,N,MedLow,Platinum
2137,1633,153538,Good,Brick,Y,MedHigh,Silver
2137,1568,143222,Excellent,Frame,N,MedLow,Gold
2132,1427,126373,Below Average,Frame,N,MedLow,Green
2131,1503,139400,Average,Frame,N,MedLow,Green
2127,1532,138850,Excellent,Frame,N,MedLow,Platinum
2118,1458,131989,Average,Frame,N,MedHigh,Platinum
2116,1553,135374,Average,Frame,N,MedLow,Silver
2109,1643,151966,Excellent,Frame,N,MedLow,Gold
2108,1765,154275,Average,Brick,Y,MedLow,Gold
2104,1539,133448,Excellent,Frame,N,MedLow,Gold
2102,1521,133897,Excellent,Frame,N,MedLow,Platinum
2099,1355,119777,Average,Brick,N,MedHigh,Platinum
2097,1347,122251,Average,Brick,N,MedHigh,Silver
2097,1376,118367,Below Average,Brick,N,MedHigh,Platinum
2092,1347,120089,Good,Brick,Y,MedHigh,Green
2084,1465,130031,Below Average,Frame,Y,MedHigh,Platinum
2079,1663,146184,Average,Frame,N,MedLow,Platinum
2077,1497,127054,Below Average,Frame,N,MedLow,Silver
2074,1598,144307,Excellent,Frame,N,MedLow,Green
2074,1397,122196,Poor,Brick,Y,MedHigh,Gold
2069,1663,148793,Average,Frame,N,MedLow,Silver
2061,1679,155401,Below Average,Brick,N,MedLow,Green
2060,1674,159192,Average,Brick,N,MedHigh,Platinum
2059,1760,156417,Average,Frame,N,MedLow,Silver
2057,1735,158358,Average,Brick,N,MedLow,Silver
2056,1529,131734,Average,Frame,N,MedLow,Silver
2056,1382,119411,Poor,Brick,N,MedLow,Silver
2049,1425,126538,Below Average,Frame,N,MedHigh,Platinum
2048,1755,164050,Average,Brick,N,MedLow,Silver
2047,1412,126781,Below Average,Frame,N,MedLow,Gold
2046,1738,160552,Average,Brick,Y,MedLow,Platinum
2044,1702,158812,Below Average,Brick,N,MedLow,Silver
2038,1720,165753,Poor,Brick,N,MedLow,Silver
2037,1707,153494,Below Average,Brick,N,MedLow,Platinum
2037,1433,130399,Excellent,Frame,N,MedHigh,Silver
2032,1683,158291,Average,Brick,Y,MedHigh,Platinum
2030,1694,161333,Excellent,Brick,N,MedHigh,Platinum
2029,1726,156844,Average,Brick,N,MedLow,Platinum
2023,1734,165703,Average,Brick,N,MedLow,Gold
2022,1551,131917,Good,Frame,N,MedLow,Silver
2022,1439,128805,Below Average,Frame,N,MedHigh,Platinum
2021,1386,121950,Excellent,Brick,N,MedHigh,Platinum
2019,1540,139041,Average,Frame,N,MedLow,Silver
2018,1345,122182,Excellent,Brick,Y,MedLow,Platinum
2012,1682,152559,Excellent,Frame,N,MedLow,Platinum
2009,1542,143797,Average,Frame,N,MedLow,Green
2007,1569,138656,Excellent,Frame,N,MedLow,Platinum
2006,1800,170302,Excellent,Brick,N,MedLow,Platinum
2006,1709,162193,Poor,Brick,N,MedLow,Silver
1998,1627,161096,Excellent,Brick,Y,MedHigh,Silver
1996,1374,121911,Average,Brick,N,MedHigh,Platinum
1995,1584,138257,Below Average,Frame,N,MedLow,Gold
1993,1783,158333,Average,Brick,Y,MedLow,Platinum
1991,1797,166592,Below Average,Brick,N,MedLow,Platinum
1991,1701,161951,Good,Brick,N,MedHigh,Platinum
1991,1737,153061,Average,Brick,N,MedLow,Gold
1990,1742,165376,Average,Brick,N,MedLow,Silver
1987,1486,131877,Poor,Frame,Y,MedHigh,Platinum
1982,1541,134221,Good,Frame,Y,MedLow,Gold
1980,1641,152715,Average,Frame,N,MedLow,Platinum
1976,1346,118493,Average,Brick,N,MedHigh,Platinum
1975,1566,144193,Average,Frame,N,MedLow,Gold
1971,1718,153185,Poor,Brick,N,MedHigh,Platinum
1970,1434,128048,Average,Frame,N,MedHigh,Platinum
1966,1440,125032,Good,Brick,N,High,Silver
1965,1378,122122,Average,Brick,N,High,Platinum
1962,1369,120138,Good,Brick,N,MedHigh,Silver
1961,1589,141474,Poor,Frame,N,MedLow,Green
1959,1729,156301,Below Average,Brick,N,MedLow,Silver
1958,1504,134752,Below Average,Frame,N,MedHigh,Silver
1957,1746,152699,Good,Brick,N,MedLow,Platinum
1957,1509,139063,Excellent,Frame,N,MedLow,Platinum
1957,1465,128499,Average,Frame,Y,MedHigh,Platinum
1955,1646,146618,Excellent,Frame,N,MedLow,Silver
1953,1632,152886,Good,Frame,N,MedLow,Silver
1950,1423,129069,Poor,Frame,N,MedLow,Silver
1950,1354,120419,Good,Brick,N,MedHigh,Silver
1948,1571,136827,Average,Frame,N,MedLow,Silver
1946,1793,164693,Below Average,Brick,N,MedLow,Green
1937,1445,128830,Average,Frame,Y,MedLow,Green
1933,1446,126662,Average,Frame,N,MedLow,Gold
1927,1652,154463,Average,Brick,N,MedHigh,Platinum
1920,1627,147700,Poor,Frame,Y,MedLow,Green
1919,1718,153320,Average,Brick,N,MedLow,Gold
1918,1595,137950,Below Average,Frame,N,MedLow,Gold
1918,1509,136843,Excellent,Frame,N,MedLow,Silver
1917,1655,148669,Average,Frame,N,MedLow,Platinum
1910,1441,130480,Excellent,Brick,Y,MedHigh,Silver
1908,1473,131816,Good,Frame,N,MedLow,Gold
1908,1356,120492,Below Average,Brick,N,MedHigh,Platinum
1906,1362,120649,Average,Brick,N,MedHigh,Platinum
1901,1454,127072,Poor,Frame,N,MedLow,Silver
1900,1709,167859,Excellent,Brick,N,MedHigh,Platinum
1899,1795,162874,Poor,Brick,N,MedLow,Platinum
1895,1551,141242,Excellent,Frame,N,MedHigh,Green
1894,1722,155719,Below Average,Brick,N,MedLow,Platinum
1894,1522,138586,Good,Frame,N,MedHigh,Silver
1893,1722,155618,Average,Brick,Y,MedLow,Platinum
1888,1648,149352,Good,Frame,N,MedLow,Platinum
1886,1644,145867,Excellent,Frame,N,MedLow,Silver
1883,1777,154484,Poor,Brick,N,MedLow,Gold
1881,1661,159421,Good,Brick,N,MedHigh,Silver
1881,1683,148796,Excellent,Frame,N,MedLow,Platinum
1880,1355,122223,Excellent,Brick,N,MedHigh,Platinum
1877,1640,156055,Average,Brick,N,MedHigh,Silver
1874,1649,152689,Average,Frame,N,MedLow,Silver
1871,1566,132375,Average,Frame,N,MedLow,Platinum
1870,1717,165647,Excellent,Brick,N,MedHigh,Platinum
1870,1423,126107,Poor,Brick,N,MedHigh,Platinum
1865,1548,142120,Poor,Frame,N,MedHigh,Silver
1864,1468,127150,Average,Frame,N,MedLow,Green
1859,1352,118064,Average,Brick,N,MedLow,Gold
1858,1703,160110,Average,Brick,N,MedHigh,Platinum
1858,1476,126785,Average,Frame,N,MedHigh,Platinum
1856,1609,157294,Below Average,Brick,N,MedHigh,Platinum
1856,1473,128603,Excellent,Frame,N,MedLow,Platinum
1855,1510,140771,Poor,Frame,N,MedLow,Platinum
1855,1375,120704,Poor,Brick,N,MedHigh,Silver
1853,1708,160836,Below Average,Brick,N,MedLow,Platinum
1852,1711,153783,Below Average,Brick,N,MedLow,Platinum
1852,1678,153504,Average,Brick,Y,MedHigh,Platinum
1852,1760,152622,Average,Brick,N,MedLow,Platinum
1851,1798,159765,Average,Brick,N,MedLow,Platinum
1850,1534,139671,Average,Frame,Y,MedLow,Silver
1847,1601,160631,Average,Brick,Y,MedHigh,Silver
1845,1654,159574,Average,Brick,Y,MedLow,Silver
1845,1710,158064,Good,Brick,N,MedHigh,Platinum
1842,1523,144021,Below Average,Frame,N,MedLow,Platinum
1838,1545,134927,Average,Frame,N,MedLow,Platinum
1830,1766,165650,Excellent,Brick,N,MedLow,Silver
1826,1658,156411,Excellent,Brick,N,MedHigh,Silver
1825,1453,130815,Average,Frame,Y,MedHigh,Platinum
1824,1657,149610,Good,Frame,N,MedLow,Silver
1819,1595,139598,Average,Frame,N,MedLow,Platinum
1816,1698,148476,Average,Frame,N,MedLow,Platinum
1816,1552,141453,Excellent,Frame,N,MedLow,Platinum
1815,1475,129686,Below Average,Frame,N,MedLow,Silver
1814,1371,121347,Average,Brick,N,MedHigh,Silver
1813,1796,152430,Poor,Brick,N,MedLow,Silver
1802,1510,137100,Excellent,Frame,N,MedLow,Gold
1793,1681,146950,Excellent,Frame,N,MedLow,Gold
1793,1412,131991,Excellent,Frame,N,MedHigh,Platinum
1791,1697,157555,Good,Brick,N,MedHigh,Platinum
1790,1423,129308,Good,Frame,Y,MedHigh,Platinum
1789,1561,134249,Poor,Frame,N,MedLow,Platinum
1789,1443,129410,Good,Frame,Y,MedLow,Silver
1789,1350,120613,Average,Brick,Y,MedHigh,Gold
1788,1564,141675,Below Average,Frame,N,MedLow,Silver
1786,1539,138754,Average,Frame,Y,MedHigh,Silver
1785,1579,139855,Average,Frame,Y,MedLow,Gold
1781,1410,129614,Good,Frame,N,MedHigh,Silver
1779,1762,160483,Below Average,Brick,N,MedLow,Platinum
1779,1608,145648,Excellent,Frame,N,MedLow,Platinum
1779,1399,118903,Average,Brick,N,MedLow,Silver
1775,1650,160817,Poor,Brick,N,MedHigh,Silver
1773,1499,125608,Poor,Brick,N,MedHigh,Platinum
1770,1450,130321,Average,Frame,N,MedLow,Platinum
1769,1401,127284,Good,Frame,Y,MedLow,Silver
1765,1437,129712,Good,Frame,Y,MedHigh,Silver
1757,1461,126705,Excellent,Frame,N,MedHigh,Silver
1751,1714,155768,Below Average,Frame,N,Low,Platinum
1751,1550,144218,Excellent,Frame,Y,MedLow,Gold
1748,1770,157640,Excellent,Brick,N,MedLow,Platinum
1741,1409,128394,Excellent,Frame,N,MedHigh,Platinum
1731,1658,146478,Poor,Frame,N,Low,Green
1729,1412,129636,Good,Frame,N,MedHigh,Platinum
1724,1362,120273,Average,Brick,N,MedHigh,Silver
1717,1510,134826,Poor,Frame,N,MedHigh,Platinum
1713,1575,135516,Excellent,Frame,N,MedLow,Silver
1706,1628,161234,Poor,Brick,N,MedHigh,Platinum
1706,1654,149141,Excellent,Frame,N,MedLow,Platinum
1704,1583,133569,Poor,Frame,Y,MedLow,Silver
1695,1617,149549,Good,Frame,N,MedLow,Platinum
1693,1718,156119,Excellent,Brick,N,MedHigh,Platinum
1692,1386,119378,Poor,Brick,N,MedHigh,Platinum
1687,1360,118570,Poor,Brick,N,MedHigh,Platinum
1684,1749,160976,Good,Brick,N,MedLow,Platinum
1684,1671,152869,Excellent,Frame,N,MedLow,Platinum
1678,1410,128956,Average,Frame,Y,MedLow,Silver
1676,1674,149958,Average,Frame,Y,MedLow,Silver
1672,1697,147926,Average,Frame,N,MedLow,Platinum
1670,1682,161239,Excellent,Brick,N,MedLow,Silver
1668,1525,143462,Below Average,Frame,N,MedLow,Silver
1667,1578,132329,Average,Frame,Y,MedLow,Platinum
1664,1609,150346,Good,Frame,N,MedLow,Platinum
1664,1516,139457,Average,Frame,N,MedHigh,Platinum
1662,1719,165490,Good,Brick,N,MedLow,Platinum
1658,1505,144646,Poor,Frame,N,MedLow,Platinum
1658,1438,126970,Average,Frame,N,MedLow,Platinum
1657,1439,128293,Poor,Frame,N,MedHigh,Silver
1656,1719,160513,Below Average,Frame,N,Low,Silver
1652,1504,139620,Below Average,Frame,N,MedLow,Platinum
1650,1431,125574,Average,Brick,N,MedHigh,Platinum
1649,1634,159270,Average,Brick,Y,MedHigh,Platinum
1648,1389,120722,Excellent,Brick,N,MedHigh,Platinum
1646,1410,130285,Good,Brick,Y,MedHigh,Platinum
1644,1455,130741,Excellent,Frame,N,MedHigh,Platinum
1641,1420,127157,Poor,Frame,N,MedLow,Platinum
1639,1670,153737,Poor,Brick,Y,MedLow,Silver
1639,1456,127719,Excellent,Frame,N,MedHigh,Platinum
1636,1408,131160,Good,Frame,N,MedHigh,Platinum
1635,1782,167291,Below Average,Brick,N,MedLow,Platinum
1635,1769,166066,Average,Brick,N,MedLow,Silver
1634,1562,133319,Average,Frame,N,MedLow,Silver
1624,1572,140955,Average,Frame,N,MedLow,Silver
1624,1564,132512,Excellent,Frame,N,MedLow,Silver
1623,1552,133881,Excellent,Frame,N,MedLow,Platinum
1621,1361,120567,Average,Brick,N,MedHigh,Silver
1618,1597,143721,Excellent,Frame,Y,MedLow,Platinum
1615,1741,165544,Excellent,Brick,N,MedLow,Platinum
1612,1402,131507,Average,Frame,Y,MedLow,Platinum
1611,1620,160974,Average,Brick,N,MedHigh,Silver
1611,1654,146868,Below Average,Frame,N,Low,Silver
1611,1463,130665,Poor,Frame,Y,MedLow,Platinum
1608,1552,134684,Excellent,Frame,N,MedLow,Green
1603,1615,154097,Excellent,Brick,N,MedLow,Platinum
1602,1580,134289,Average,Frame,N,Low,Platinum
1596,1407,129876,Average,Frame,N,MedHigh,Platinum
1596,1397,119384,Average,Brick,Y,MedLow,Platinum
1595,1758,154789,Excellent,Brick,N,MedLow,Platinum
1594,1767,155283,Good,Brick,Y,Low,Silver
1593,1406,127522,Excellent,Frame,Y,MedLow,Platinum
1582,1381,120559,Poor,Brick,N,MedLow,Platinum
1576,1602,146749,Average,Frame,N,Low,Green
1572,1763,162051,Average,Brick,N,Low,Platinum
1569,1440,128194,Excellent,Frame,Y,MedLow,Platinum
1568,1426,125641,Average,Brick,Y,MedLow,Platinum
1567,1357,118200,Average,Brick,Y,MedLow,Platinum
1558,1494,125126,Good,Brick,Y,MedLow,Platinum
1557,1583,144491,Excellent,Frame,N,MedLow,Platinum
1552,1392,120923,Excellent,Brick,N,MedHigh,Platinum
1550,1420,127382,Poor,Frame,N,MedLow,Platinum
1543,1402,129541,Excellent,Frame,N,MedLow,Platinum
1543,1434,127224,Average,Frame,N,MedLow,Platinum
1542,1605,146157,Good,Frame,N,MedLow,Silver
1538,1406,131353,Below Average,Frame,N,MedLow,Platinum
1531,1523,136408,Good,Frame,N,MedLow,Silver
1523,1434,127970,Poor,Frame,N,MedLow,Platinum
1521,1690,147083,Average,Frame,N,Low,Platinum
1516,1347,120282,Good,Brick,N,MedHigh,Platinum
1515,1474,128515,Below Average,Frame,N,MedLow,Platinum
1510,1388,121110,Below Average,Brick,N,MedLow,Platinum
1496,1238,113191,Poor,Brick,Y,MedLow,Gold
1495,1124,99843,Average,Brick,N,MedLow,Gold
1492,1062,94986,Poor,Brick,Y,MedLow,Platinum
1490,1432,129523,Below Average,Frame,N,Low,Platinum
1488,1315,118348,Average,Brick,N,Low,Silver
1485,1016,94956,Poor,Brick,N,MedHigh,Platinum
1481,1242,112644,Excellent,Brick,N,MedLow,Silver
1477,851,74798,Poor,Brick,Y,MedLow,Green
1476,1270,116627,Average,Brick,N,Low,Gold
1469,1290,111948,Below Average,Brick,Y,MedLow,Platinum
1468,1401,130960,Excellent,Frame,Y,MedLow,Platinum
1466,1334,119858,Excellent,Brick,N,Low,Platinum
1466,955,83047,Excellent,Frame,N,MedLow,Platinum
1464,988,85450,Average,Frame,N,Low,Silver
1460,1147,101645,Excellent,Brick,N,MedLow,Platinum
1458,1316,118962,Poor,Brick,N,MedLow,Platinum
1456,1337,122665,Average,Brick,Y,MedLow,Platinum
1455,1193,102875,Excellent,Brick,N,MedLow,Platinum
1449,1291,113202,Excellent,Brick,N,Low,Silver
1447,1085,92803,Poor,Brick,Y,MedLow,Platinum
1443,1161,101628,Excellent,Brick,N,MedLow,Platinum
1437,1197,102597,Average,Brick,N,MedLow,Silver
1436,1091,93980,Below Average,Brick,Y,MedLow,Platinum
1433,1233,116911,Average,Brick,N,MedLow,Platinum
1433,1073,94960,Poor,Brick,N,MedLow,Platinum
1425,1329,118114,Below Average,Brick,N,Low,Gold
1424,1332,120823,Average,Brick,N,MedLow,Silver
1424,847,75639,Excellent,Brick,N,MedLow,Green
1423,1160,101063,Poor,Brick,N,MedLow,Silver
1421,1181,105688,Average,Brick,N,MedLow,Platinum
1419,1211,111955,Poor,Brick,N,MedLow,Platinum
1418,1231,110129,Average,Brick,N,Low,Silver
1418,1006,90889,Excellent,Brick,N,MedLow,Platinum
1418,835,75893,Average,Frame,N,MedHigh,Platinum
1416,1300,119612,Below Average,Brick,N,Low,Platinum
1415,987,81649,Excellent,Frame,N,MedLow,Platinum
1414,913,82086,Excellent,Stucco,N,High,Platinum
1411,903,80628,Average,Frame,N,MedLow,Platinum
1411,878,73550,Below Average,Brick,N,MedHigh,Platinum
1410,1252,117338,Below Average,Brick,N,MedLow,Platinum
1408,1437,126219,Excellent,Frame,Y,MedLow,Platinum
1405,911,84718,Poor,Frame,N,MedHigh,Platinum
1405,902,83632,Excellent,Frame,N,MedLow,Gold
1403,1271,110796,Average,Brick,N,Low,Platinum
1398,974,80385,Below Average,Frame,N,MedHigh,Platinum
1397,1121,108670,Excellent,Brick,Y,MedLow,Platinum
1397,1155,93746,Good,Brick,Y,MedLow,Platinum
1396,1143,100484,Average,Brick,N,MedLow,Platinum
1395,1114,103836,Good,Brick,Y,MedLow,Platinum
1395,920,83561,Excellent,Frame,N,MedLow,Silver
1392,1332,120860,Good,Brick,N,MedLow,Platinum
1389,1308,120432,Poor,Brick,N,MedLow,Silver
1386,1081,90381,Average,Brick,N,MedLow,Platinum
1381,1044,94423,Average,Brick,Y,MedLow,Platinum
1380,1017,92945,Good,Brick,N,MedLow,Platinum
1378,990,82669,Average,Stucco,N,MedHigh,Gold
1377,1104,102995,Good,Brick,N,MedLow,Gold
1373,1068,90050,Below Average,Brick,N,MedHigh,Platinum
1372,1315,119907,Average,Brick,N,MedLow,Platinum
1369,1252,113883,Average,Brick,N,MedLow,Gold
1369,1198,92403,Below Average,Brick,N,MedLow,Platinum
1367,1216,117288,Excellent,Brick,N,MedLow,Platinum
1364,1174,99417,Excellent,Brick,N,MedLow,Platinum
1363,1309,122244,Poor,Brick,N,MedLow,Silver
1361,1242,113310,Average,Brick,Y,MedLow,Silver
1360,987,84201,Average,Frame,N,MedLow,Platinum
1360,846,75523,Average,Brick,N,MedHigh,Platinum
1359,1150,100187,Excellent,Brick,N,MedLow,Green
1353,911,81572,Below Average,Frame,Y,MedLow,Platinum
1351,868,74592,Excellent,Brick,N,MedHigh,Platinum
1350,1109,106268,Poor,Brick,N,MedHigh,Platinum
1348,1096,92096,Excellent,Brick,N,MedLow,Platinum
1347,1121,97104,Poor,Brick,N,MedHigh,Platinum
1346,1212,115302,Excellent,Brick,N,MedLow,Gold
1345,1234,108576,Excellent,Brick,Y,MedLow,Silver
1342,1004,95468,Poor,Brick,Y,MedHigh,Platinum
1338,1120,105923,Poor,Brick,N,MedHigh,Platinum
1338,987,84865,Poor,Frame,N,MedLow,Platinum
1335,1238,114053,Excellent,Brick,N,MedLow,Platinum
1330,1383,119123,Below Average,Brick,N,Low,Platinum
1326,1341,122367,Average,Brick,Y,MedLow,Silver
1324,1365,120034,Good,Brick,N,MedLow,Platinum
1322,1024,95120,Average,Brick,Y,MedLow,Platinum
1322,1016,90086,Excellent,Brick,Y,MedHigh,Silver
1321,835,73563,Average,Brick,N,MedHigh,Silver
1319,992,82402,Good,Stucco,Y,MedHigh,Platinum
1312,1245,113554,Average,Brick,N,Low,Green
1304,1201,109226,Good,Brick,N,MedLow,Platinum
1300,864,75022,Average,Brick,N,MedHigh,Platinum
1297,1076,93198,Good,Brick,N,MedLow,Platinum
1296,869,75271,Poor,Brick,N,MedHigh,Platinum
1292,1307,121080,Average,Brick,N,MedLow,Platinum
1290,1079,91086,Average,Brick,N,MedLow,Platinum
1288,1072,92451,Poor,Brick,Y,MedLow,Silver
1288,987,80117,Average,Frame,N,MedLow,Platinum
1286,1165,107379,Average,Brick,N,MedLow,Platinum
1286,934,85604,Average,Brick,N,MedHigh,Silver
1284,1389,118028,Below Average,Brick,N,Low,Platinum
1284,1198,107060,Excellent,Brick,N,MedLow,Platinum
1281,1377,121826,Good,Brick,N,MedLow,Silver
1268,1002,90224,Below Average,Brick,N,MedLow,Platinum
1264,1208,113568,Excellent,Brick,N,MedLow,Platinum
1263,1060,92579,Poor,Brick,N,MedHigh,Platinum
1258,882,75817,Average,Frame,N,MedLow,Silver
1256,1074,94827,Average,Brick,N,MedLow,Platinum
1254,1058,95708,Excellent,Brick,Y,MedLow,Platinum
1253,1195,103649,Average,Brick,N,MedLow,Platinum
1252,931,81524,Below Average,Frame,N,MedLow,Platinum
1251,1121,99084,Poor,Brick,N,MedLow,Platinum
1246,1314,118255,Good,Brick,Y,MedLow,Platinum
1245,847,73191,Average,Frame,N,MedLow,Platinum
1244,1238,111510,Excellent,Brick,Y,MedLow,Silver
1243,958,83599,Average,Frame,Y,MedLow,Platinum
1241,1179,94175,Average,Brick,N,MedLow,Silver
1232,878,76387,Excellent,Frame,N,MedLow,Platinum
1231,1171,97328,Good,Brick,N,MedLow,Platinum
1231,963,83623,Poor,Frame,Y,MedLow,Platinum
1229,1395,121216,Poor,Brick,N,MedLow,Platinum
1229,908,84719,Excellent,Frame,Y,MedLow,Green
1226,991,84916,Below Average,Frame,Y,MedLow,Platinum
1221,1017,90415,Average,Brick,N,MedHigh,Platinum
1215,1292,112794,Good,Brick,N,Low,Platinum
1213,1276,118160,Excellent,Brick,Y,MedLow,Platinum
1209,1189,107312,Excellent,Brick,N,MedLow,Platinum
1209,925,85975,Average,Brick,N,MedHigh,Platinum
1203,1305,121906,Average,Brick,N,MedLow,Platinum
1203,1089,94656,Excellent,Brick,N,MedHigh,Platinum
1201,1173,98147,Good,Brick,N,MedLow,Platinum
1193,1129,108782,Poor,Brick,N,MedLow,Platinum
1190,1235,111243,Poor,Brick,N,MedLow,Platinum
1190,994,83339,Excellent,Frame,Y,MedLow,Gold
1180,976,82543,Average,Stucco,N,MedHigh,Platinum
1173,1232,108960,Excellent,Brick,Y,MedLow,Platinum
1168,988,83365,Average,Frame,N,MedLow,Platinum
1163,1230,115362,Poor,Brick,N,MedLow,Platinum
1157,962,81783,Average,Frame,N,MedLow,Gold
1154,1178,104050,Average,Brick,N,MedLow,Platinum
1153,1104,99636,Good,Brick,Y,MedLow,Platinum
1153,1055,91647,Excellent,Brick,N,MedLow,Silver
1140,1377,120076,Good,Brick,N,MedLow,Platinum
1138,957,82354,Excellent,Stucco,Y,MedHigh,Platinum
1135,1271,117711,Average,Brick,Y,MedLow,Platinum
1128,1292,121016,Average,Brick,N,MedLow,Silver
1122,1110,102228,Average,Brick,N,MedLow,Platinum
1106,994,81575,Average,Frame,N,Low,Platinum
1092,973,82858,Poor,Stucco,N,MedLow,Gold
1091,1383,121222,Excellent,Brick,Y,MedLow,Platinum
1087,882,76242,Average,Frame,Y,MedLow,Platinum
1086,1008,91842,Average,Brick,N,MedLow,Platinum
1082,1125,93355,Below Average,Brick,N,Low,Platinum
1074,1058,94405,Excellent,Brick,N,MedLow,Gold
1071,1286,114815,Excellent,Brick,N,Low,Platinum
1056,1350,118496,Below Average,Brick,N,Low,Platinum
1053,1176,103685,Excellent,Brick,N,MedLow,Platinum
1042,860,73011,Average,Frame,N,MedLow,Silver
1037,1283,109907,Average,Brick,N,Low,Platinum
1037,1050,90321,Excellent,Brick,N,MedLow,Platinum
1034,1330,119129,Below Average,Brick,N,Low,Platinum
1031,1261,111816,Average,Brick,N,Low,Platinum
1023,1286,108872,Excellent,Brick,N,Low,Platinum
1023,852,75055,Average,Brick,N,MedLow,Silver
1022,1291,117084,Excellent,Brick,Y,MedLow,Platinum
1020,1156,99334,Average,Brick,Y,MedLow,Platinum
1014,1267,112531,Poor,Brick,N,Low,Platinum
1013,1079,94669,Below Average,Brick,N,MedLow,Platinum
1009,1199,97251,Average,Brick,Y,Low,Platinum
1008,984,81913,Below Average,Stucco,N,MedHigh,Platinum
1006,1015,93827,Average,Brick,N,MedLow,Platinum
1004,1351,119196,Poor,Brick,Y,Low,Platinum
